_c0,tconst,numVotes,popularity,runtimeMinutes,budget,revenue
428,tt0039305,7368,5,100,14032408,30758967
876,tt0054412,38550,6,107,16470167,42416716
6698,tt1582271,6698,8,91,6000000,5206
9213,tt6176928,1329,7,102,13729527,29063866
9715,tt8235296,2302,7,120,13817001,29464546
1600,tt0074478,1045,5,92,13553403,28450193
1770,tt0079576,23166,3,110,2500000,15014674
2416,tt0095262,1573,5,124,13611837,28703794
2929,tt0110116,34657,6,121,16221365,41138661
3968,tt0258291,1559,6,105,13642025,28801752
3987,tt0262455,1486,6,166,13636611,28775481
4126,tt0287467,109499,6,112,9285469,32754101
4203,tt0304711,17432,5,102,35000000,11560806
4760,tt0415689,1457,6,120,13649891,28815944
6678,tt1568343,6706,7,112,14105840,30924878
545,tt0043918,4348,4,107,13794696,29626795
2158,tt0089308,6997,5,91,14037807,30734014
4699,tt0402906,2244,0,90,0,17393
4948,tt0450405,44555,10,119,40000000,28169671
6762,tt1620449,6391,7,93,14082491,30811557
407,tt0038733,21218,5,104,15132980,35985527
2939,tt0110255,3420,5,90,13769208,29435762
2948,tt0110367,34620,6,115,16218968,41126389
2222,tt0091064,171445,13,96,15000000,58366658
8059,tt3317874,3471,7,93,13876527,29795631
8564,tt4415326,1398,7,156,13721928,29046753
9040,tt5702446,1031,7,111,13702349,28939874
1523,tt0071853,522043,10,91,400000,69914589
1577,tt0073691,1224,5,85,13567168,28516228
4691,tt0402022,126687,12,93,62000000,185281016
1891,tt0082958,1174,5,100,13569528,28518249
4929,tt0446055,1052,6,106,13621103,28674308
1649,tt0075788,1092,5,88,13558127,28471193
3398,tt0126861,33762,6,93,16164048,40844433
3430,tt0132245,40605,5,116,94000000,54744738
4719,tt0407732,8522,6,87,14210688,31480029
4606,tt0385002,147163,7,109,0,12052617
5685,tt1046173,205593,11,118,175000000,518606620
8431,tt4080728,51643,10,116,0,-2372978
9575,tt7638556,1933,7,106,13784843,29315941
7218,tt2008006,5675,2,118,0,2802459
8457,tt4145304,3146,7,90,13858719,29699430
8657,tt4679210,19498,0,156,6200000,10395443
9218,tt6198246,22723,8,108,15458346,37219517
4455,tt0362270,189780,6,119,50000000,34808403
8813,tt5098128,9466,7,168,14368310,32108747
9579,tt7658610,2143,7,91,13801616,29395471
517,tt0042742,1519,4,90,13569240,28557065
1845,tt0082183,8746,5,90,14170529,31373386
4212,tt0306841,35205,6,94,17000000,43447750
4638,tt0388795,342121,11,134,14000000,81383248
5209,tt0499375,23099,2,162,4700000,6643003
5784,tt10883506,7282,6,156,14133602,31082840
6137,tt1235830,9031,6,94,14279751,31766498
7944,tt3093286,3844,7,90,13903859,29928776
8801,tt5074352,174777,8,161,10400000,310000000
9285,tt6433456,5723,7,123,14080279,30727264
5917,tt1137477,1081,6,92,13643334,28750978
1661,tt0076009,23979,8,117,14000000,33192822
3869,tt0242150,2552,6,110,13718966,29169995
4337,tt0333701,31981,7,92,16050137,40259340
5705,tt10534500,10591,6,158,14395055,32326632
8076,tt3374816,3789,7,82,13902148,29916794
135,tt0025028,2038,4,91,13602793,28727559
994,tt0057579,2287,5,97,13639913,28878697
8074,tt3365778,7211,7,91,14174138,31208365
9913,tt9243946,210566,13,122,30376778,108091062
9,tt0012494,5842,4,97,13902649,30155073
1025,tt0058390,7570,5,90,14060506,30874929
2642,tt0101660,3660,5,101,13782297,29506600
7470,tt2275794,3744,7,150,13886356,29859515
118,tt0023973,39982,5,73,16561586,42886503
540,tt0043769,1241,4,118,13547608,28453668
8203,tt3581652,24658,8,156,15582198,37855367
9745,tt8364132,21733,8,163,15395269,36895171
2480,tt0097174,35503,6,86,16275288,41415862
5339,tt0819796,1449,6,106,13660932,28851439
5992,tt1161951,1062,6,80,13643335,28748792
7408,tt2210463,3904,7,88,13897818,29915765
8468,tt4164468,24150,8,132,15549686,37688526
125,tt0024216,83177,8,100,672000,4235941
276,tt0033022,2766,4,56,13663505,29011725
2089,tt0087414,8120,5,98,14125688,31153325
2975,tt0111174,1067,5,98,13582885,28549974
3462,tt0139809,70085,9,100,16000000,18564088
3736,tt0201844,4228,6,85,13849513,29793778
5473,tt0913425,40029,7,127,16730524,43423140
9912,tt9239552,3072,8,90,13882182,29768293
317,tt0034862,14436,5,100,14592034,33419539
5725,tt10623524,2705,6,124,13768564,29351226
394,tt0038057,15930,6,102,1202007,2948386
981,tt0057239,1905,5,126,13609287,28733648
4262,tt0315642,18501,3,103,5200000,7360230
6603,tt1521877,1154,6,87,13662973,28824169
6646,tt1545754,15679,7,114,14818496,34309785
7203,tt1991245,29021,6,86,0,18112929
7359,tt2175672,1981,7,165,13743970,29186656
8149,tt3501590,2731,7,96,13819517,29522292
8354,tt3901826,23913,8,94,15507498,37531492
897,tt0055032,40021,6,105,16637592,43115687
2680,tt0102816,2068,5,126,13656512,28908205
3898,tt0246989,18199,4,95,11000000,23806323
4872,tt0433383,96558,7,93,7000000,54600000
475,tt0040843,2910,4,91,13678970,29079331
3982,tt0261199,1128,6,88,13608043,28639989
8623,tt4567486,1878,7,87,13761268,29231841
9038,tt5700176,3717,7,90,13915828,29953617
4338,tt0333764,3661,6,85,13816582,29619802
6366,tt1352852,28130,7,87,15803955,38994861
7053,tt1833879,3721,7,94,13876111,29823073
7851,tt2900822,2846,7,82,13822647,29545871
8569,tt4427800,1014,7,89,13691496,28902115
