tconst,FullText
tt0009369,"mickey: mickey, an orphan who has been brought up in a mining settlement, is sent to new york to live with her aunt. new york orphan"
tt0010600,the doll
tt0011439,the mark of zorro
tt0011607,the parsons widow
tt0011841,way down east
tt0012349,"the kid: considered one of charlie chaplins best films, the kid also made a star of little jackie coogan, who plays a boy cared for by the tramp when hes abandoned by his mother, edna. later, edna has a change of heart and aches to be reunited with her son. when she finds him and wrests him from the tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy. angel suicide attempt fistfight slapstick class differences rich poor foundling dream sequence semi autobiographical auto theft little tramp illegitimate son smashing a window abandoned"
tt0012494,destiny
tt0012532,orphans of the storm
tt0013257,haxan
tt0013556,robin hood
tt0013933,the faithful heart
tt0014109,the saga of gosta berling
tt0014142,the hunchback of notre dame
tt0014341,our hospitality
tt0014358,the pilgrim
tt0014538,three ages
tt0014611,why worry?
tt0014945,girl shy
tt0015064,the last laugh
tt0015163,the navigator
tt0015224,peter pan
tt0015361,strike
tt0015400,the thief of bagdad: a recalcitrant thief vies with a duplicitous mongol ruler for the hand of a beautiful princess. male nudity treasure magic palace flying carpet bagdad rope princess thief suitor disguise apple
tt0015841,the freshman
tt0015842,the joyless street
tt0015864,the gold rush: a lone prospector ventures into alaska looking for gold. he gets mixed up with some burly characters and falls in love with the beautiful georgia. he tries to win her heart with his singular charm. river gold dance worker cabin gold rush thanksgiving love alaska klondike little tramp dance hall
tt0015881,greed
tt0016029,the little colonel
tt0016220,the phantom of the opera
tt0016544,the wizard of oz
tt0016630,battling butler
tt0016641,"ben-hur: a tale of the christ: after having not seen one another in years, wealthy jewish citizen judah ben-hur and his boyhood close friend messala, now a roman tribune, happen to meet. when an accident occurs, messala, who has become small-minded and arrogant, seeks to destroy the lives of judah and his family members. chariot race revenge silent film seductress sea battle spectacle two strip technicolor galley slave enslavement temptress nativity lepers"
tt0016847,faust
tt0017048,a page of madness
tt0017271,by the law
tt0017350,the scarlet letter
tt0017463,3 bad men
tt0017925,the general
tt0017961,happiness
tt0018054,the king of kings
tt0018066,the end of st. petersburg
tt0018192,napoleon
tt0018379,7th heaven
tt0018451,the student prince in old heidelberg
tt0018526,underworld
tt0018528,the unknown
tt0018578,wings
tt0018684,beggars of life
tt0018742,the cameraman
tt0018773,the circus: the tramp finds work and the girl of his dreams at a circus.
tt0018806,the crowd
tt0019109,lonesome
tt0019379,show people
tt0019412,speedy
tt0019429,street angel
tt0019655,asphalt
tt0019788,coquette
tt0020018,in old arizona
tt0020122,lucky star
tt0020298,queen kelly
tt0020768,city girl
tt0020793,escape from dartmoor
tt0021015,juno and the paycock
tt0021309,the story of the fox
tt0021409,under the roofs of paris
tt0021739,la chienne
tt0021884,frankenstein: henry frankenstein is a doctor who is trying to discover a way to make the dead walk. he succeeds and creates a monster that has to deal with living again. an obsessed scientist assembles a living being from parts of exhumed corpses. fire monster experiment frankenstein laboratory mad doctor girl classic horror body part villager
tt0022100,m
tt0022125,marius
