tconst,primaryTitle,_c0,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,primaryTitleFormatted,oscar_noms,oscar_wins,razzie_noms,razzie_wins,budget,genres,genres_meta,language,popularity,revenue,movie_id,Rank,Worldwide,Domestic,Foreign,hasRemake,title_language,isEN
tt0063288,Be Sick... It's Free,1214,Il medico della mutua,1968,"",98,1498.0,true,be sick... it's free,"","","","","","","","","","","","","","","",0,it,false
tt0912580,The Devil Came on Horseback,5468,The Devil Came on Horseback,2007,"",88,1587.0,true,the devil came on horseback,"","","","","","",['Documentary'],"['English', 'Arabic']","","",tt0912580,"","","","",0,en,true
tt0081400,Ráisé thé Titánic,1826,Raise the Titanic,1980,"",115,"",false,raise the titanic,"","",1,"","","","","","","","","","","","",0,en,true
tt11809034,Rurouni Kenshin: Final Chapter Part I - The Final,6034,Rurôni Kenshin: Sai shûshô - The Final,2021,"",138,7424.0,true,rurouni kenshin: final chapter part i - the final,"","","","","","","","","","","",82,3.6964978E7,"",3.6964978E7,0,en,true
tt0073582,Deep Red,1573,Profondo rosso,1975,"",127,36146.0,true,deep red,"","","","","","","['Mystery', 'Thriller', 'Horror']","['English', 'German', 'Italian']","","",tt0073582,"","","","",0,pt,false
tt4307692,Traumfrauen,8524,"",2015,"",109,2437.0,false,traumfrauen,"","","","","","","","","","","","","","","",0,de,false
tt1307873,The Big Bang,6278,The Big Bang,2010,"",101,7061.0,false,the big bang,"","","","","","","['Mystery', 'Thriller']",['English'],"","",tt1307873,"","","","",0,tl,false
tt2366806,The Day of the Living Dead,7565,"",2014,"",90,1812.0,false,the day of the living dead,"","","","","","","","","","","","","","","",0,en,true
tt5890000,Survival Family,9118,Sabaibaru famirî,"",2016,117,2253.0,true,survival family,"","","","","","","","","","","","","","","",0,so,false
tt0427229,Failure to Launch,4843,"",2006,"",97,"",false,failure to launch,"","","","",50000000,Comedy,"['Comedy', 'Romance']",['English'],9.438013,"",tt0427229,43,1.30224158E8,8.8715192E7,4.1508966E7,0,fr,false
tt2497980,The Lookalike,7679,The Lookalike,2014,"",100,3759.0,false,the lookalike,"","","","","","","","","","","","","","","",0,et,false
