,movie,genres,language,overview
0,tt0024184,"['Sci-Fi', 'Horror']",['English'],"['A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.']"
1,tt0024216,"['Adventure', 'Sci-Fi', 'Horror']",['English'],['A film crew travels to a tropical island for an exotic location shoot and discovers a colossal ape who falls for their blonde starlet. He is then captured and transported back to New York City for public exhibition.']
2,tt0028333,"['Comedy', 'Romance', 'Musical']","['English', 'French']","['A performer and gambler travels to New York City to raise the $25,000 he needs to marry his fiancée, only to become entangled with a beautiful aspiring dancer.']"
3,tt0030341,"['Mystery', 'Thriller']","['English', 'German', 'French', 'Italian']","['While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.']"
4,tt0031762,"['Adventure', 'Drama', 'Romance']","['English', 'Spanish']","[""At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract.""]"
5,tt0032904,"['Comedy', 'Romance']","['English', 'French']","[""When a rich woman's ex-husband (Cary Grant) and a tabloid-type reporter (James Stewart) turn up just before her planned remarriage, she (Katherine Hepburn) begins to learn the truth about herself.""]"
6,tt0037913,"['Drama', 'Mystery', 'Romance', 'Crime', 'Film-Noir']",['English'],['A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.']
7,tt0042451,"['Comedy', 'Romance']",['English'],"['The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.']"
8,tt0043278,"['Drama', 'Romance', 'Musical']","['English', 'German', 'French']",['Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.']
9,tt0045793,"['Drama', 'Romance', 'War']",['English'],"['This 1953 classic portrays the loves, hopes and dreams of the soldiers in a close-knit Army barracks in Hawaii shortly before the attack on Pearl Harbor.']"
10,tt0048380,"['Drama', 'Comedy', 'War']",['English'],"['In the waning days of World War II, the United States Navy cargo ship Reluctant and her crew are stationed in the ""backwater"" areas of the Pacific Ocean. Trouble ensues when the crew members are granted liberty.']"
11,tt0053796,['Drama'],['English'],"['Archie Rice, an old-time British music hall performer sinking into final defeat, schemes to stay in show business.']"
12,tt0054387,"['Adventure', 'Sci-Fi', 'Thriller', 'Romance']",['English'],"[""A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.""]"
13,tt0055032,"['Drama', 'Romance']","['English', 'German', 'French']",['Decades of a love triangle concerning two friends and an impulsive woman.']
14,tt0057180,"['Adventure', 'Drama', 'Family']",['English'],"['The story of three pets, a cat and two dogs, who lose their owners when they are all on vacation. Can they find their way home?']"
15,tt0057490,['Drama'],['English'],['The Servant looks at the decaying British class system through the relationship between an aristocrat and his scheming butler.']
16,tt0057933,"['Drama', 'Mystery']",['English'],"['An elderly woman hires a governess with a mysterious past to look after her disturbed and spoiled teenage granddaughter, who eventually understands the meaning of self-sacrifice, as an example of love, and grows into a better person.']"
17,tt0058390,"['Drama', 'Crime']",['English'],"[""Kelly's path towards happiness is thrown amiss when she witnesses a shocking event, which threatens not just her happiness, but her mental health as well.""]"
18,tt0058576,"['Drama', 'Thriller']",['English'],['United States military leaders plot to overthrow the President because he supports a nuclear disarmament treaty and they fear a Soviet sneak attack.']
19,tt0060635,"['Action', 'Adventure']",['Mandarin'],"['The Chinese Wuxia (martial arts) picture was never the same after King Hu’s legendary Dragon Inn. During the Ming dynasty, the emperor’s minister of defense is framed by a powerful court eunuch and executed, and his family is pursued by secret police. In the ensuing chase, a mysterious band of strangers begins to gather at the remote Dragon Gate Inn, where paths (and swords) will cross. [Janus Films]']"
20,tt0062765,"['Action', 'Mystery', 'Thriller', 'Crime']",['English'],"['An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.']"
21,tt0068370,"['Horror', 'Comedy']",['English'],['Six friends in a theatrical troupe dig up a corpse on an abandoned island to use in a mock Satanic ritual. It backfires with deadly consequences.']
22,tt0071230,"['Comedy', 'Western']","['English', 'German', 'Yiddish']","[""The railroad's got to run through the town of Rock Ridge. How do you drive out the townfolk in order to steal their land? Send in the toughest gang you've got...and name a new sheriff who'll last about 24 hours. But that's not really the plot of Blazing Saddles, just the pretext. Once Mel Brooks' lunatic film—that many call his best—gets started, logic is lost in a blizzard of gags, jokes, quips, puns, howlers, growlers and outrageous assaults upon good taste or any taste at all. Cleavon Little as the new lawman, Gene Wilder as the wacko Waco Kid, Brooks himself as a dim-witted politico and Madeline Kahn in her Marlene Dietrich send-up that earned her an Academy Award nomination all give this sagebrush saga their lunatic best. And when Blazing Saddles can't contain itself at the finale, it just proves the Old West will never be the same! [Warner Bros.]""]"
23,tt0071532,"['Drama', 'Crime']",['English'],"['Axel Freed is a literature professor. He has the gambling vice. When he has lost all of his money, he borrows from his girlfriend, then his mother, and finally some bad guys that chase him. Despite all of this, he cannot stop gambling.']"
24,tt0071853,"['Adventure', 'Fantasy', 'Comedy']","['English', 'French', 'Latin']","[""The Monty Python team are at it again in their second movie. This time we follow King Arthur and his knights in their search for the Holy Grail. This isn't your average medieval knights and horses story - for a start, due to a shortage in the kingdom, all the horses have been replaced by servants clopping coconuts together!""]"
25,tt0074593,"['Adventure', 'Thriller', 'Horror']",['English'],"['An eighteen-foot-tall grizzly bear terrorizes a state park, leaving it up to a Park Ranger to save the day.']"
26,tt0076009,['Horror'],"['English', 'French', 'Spanish']","[""A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.""]"
27,tt0076740,"['Adventure', 'Drama', 'Thriller']","['English', 'German', 'French', 'Spanish']",['Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous South American jungle.']
28,tt0077904,"['Sci-Fi', 'Horror']",['English'],"[""A psychic's girlfriend finds out that a lump on her back is a growing reincarnation of a 400 year-old demonic Native American spirit.""]"
29,tt0078788,"['Action', 'Drama', 'War']","['English', 'French', 'Vietnamese', 'Khmer']","['During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.']"
30,tt0078935,"['Adventure', 'Horror']","['English', 'Spanish', 'Italian']","['During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew.']"
31,tt0079576,"['Drama', 'Comedy', 'War']","['English', 'Icelandic']",['College graduates deal with Vietnam and other issues of the late 1960s.']
32,tt0079833,"['Adventure', 'Fantasy', 'Animation', 'Family']","['English', 'French', 'Japanese']","[""A flamboyant thief and his gang struggle to free a princess from an evil count's clutches and to learn the hidden secret to a fabulous treasure that she holds part of a key to.""]"
33,tt0080100,"['Sci-Fi', 'Horror']",['English'],"['An intergalactic warrior battles alongside a cosmic Christ figure against a demonic 8-year-old girl and her pet hawk, as the fate of the universe hangs in the balance. [Drafthouse Films]']"
