moviename,nominations_razzie,Year,Wins
Cruising,1,1980,0
The Formula,1,1980,0
Friday the 13th,1,1980,0
The Nude Bomb,1,1980,0
The Jazz Singer,1,1980,0
Raise the Titanic,1,1980,0
Saturn 3,1,1980,0
Windows,1,1980,0
Xanadu,1,1980,0
Can't Stop the Music,1,1980,1
Mommie Dearest,1,1981,1
Heaven's Gate,1,1981,0
The Legend of the Lone Ranger,1,1981,0
Tarzan, the Ape Man,1,1981,0
Inchon,1,1982,1
Annie,1,1982,0
Butterfly,1,1982,0
Megaforce,1,1982,0
The Pirate Movie,1,1982,0
The Lonely Lady,1,1983,1
Hercules,1,1983,0
Jaws 3-D,1,1983,0
Stroker Ace,1,1983,0
Two of a Kind,1,1983,0
Film,1,1984,1
Bolero,1,1984,0
Cannonball Run II,1,1984,0
Rhinestone,1,1984,0
Sheena,1,1984,0
Where the Boys Are '84,1,1984,0
Rambo: First Blood Part II,1,1985,1
Fever Pitch,1,1985,0
Revolution,1,1985,0
Rocky IV,1,1985,0
Year of the Dragon,1,1985,0
Howard the Duck,1,1986,1
Under the Cherry Moon,1,1986,0
Blue City,1,1986,0
Cobra,1,1986,0
Shanghai Surprise,1,1986,0
Leonard Part 6,1,1987,1
Ishtar,1,1987,0
Jaws: The Revenge,1,1987,0
Tough Guys Don't Dance,1,1987,0
Who's That Girl,1,1987,0
Cocktail,1,1988,1
Caddyshack II,1,1988,0
Hot to Trot,1,1988,0
Mac and Me,1,1988,0
Rambo III,1,1988,0
Star Trek V: The Final Frontier,1,1989,1
The Karate Kid Part III,1,1989,0
Lock Up,1,1989,0
Road House,1,1989,0
Speed Zone,1,1989,0
The Adventures of Ford Fairlane,1,1990,1
Ghosts Can't Do It,1,1990,0
The Bonfire of the Vanities,1,1990,0
Graffiti Bridge,1,1990,0
Rocky V,1,1990,0
Hudson Hawk,1,1991,1
Cool as Ice,1,1991,0
Dice Rules,1,1991,0
Nothing but Trouble,1,1991,0
Return to the Blue Lagoon,1,1991,0
Shining Through,1,1992,1
The Bodyguard,1,1992,0
Christopher Columbus: The Discovery,1,1992,0
Final Analysis,1,1992,0
Newsies,1,1992,0
Indecent Proposal,1,1993,1
Body of Evidence,1,1993,0
Cliffhanger,1,1993,0
Last Action Hero,1,1993,0
Sliver,1,1993,0
Color of Night,1,1994,1
North,1,1994,0
On Deadly Ground,1,1994,0
The Specialist,1,1994,0
Wyatt Earp,1,1994,0
Showgirls,1,1995,1
Congo,1,1995,0
It's Pat,1,1995,0
The Scarlet Letter,1,1995,0
Waterworld,1,1995,0
Striptease,1,1996,1
Barb Wire,1,1996,0
Ed,1,1996,0
The Island of Dr. Moreau,1,1996,0
The Stupids,1,1996,0
The Postman,1,1997,1
Anaconda,1,1997,0
Batman & Robin,1,1997,0
Fire Down Below,1,1997,0
An Alan Smithee Film: Burn Hollywood Burn,1,1998,1
Armageddon,1,1998,0
The Avengers,1,1998,0
Godzilla,1,1998,0
Spice World,1,1998,0
Wild Wild West,1,1999,1
Big Daddy,1,1999,0
The Blair Witch Project,1,1999,0
The Haunting,1,1999,0
Star Wars: Episode I ? The Phantom Menace,1,1999,0
Battlefield Earth,1,2000,1
Book of Shadows: Blair Witch 2,1,2000,0
The Flintstones in Viva Rock Vegas,1,2000,0
Little Nicky,1,2000,0
The Next Best Thing,1,2000,0
Freddy Got Fingered,1,2001,1
Driven,1,2001,0
Glitter,1,2001,0
Pearl Harbor,1,2001,0
3000 Miles to Graceland,1,2001,0
Swept Away,1,2002,1
The Adventures of Pluto Nash,1,2002,0
Crossroads,1,2002,0
Pinocchio,1,2002,0
Star Wars: Episode II ? Attack of the Clones,1,2002,0
Gigli,1,2003,1
The Cat in the Hat,1,2003,0
Charlie's Angels: Full Throttle,1,2003,0
From Justin to Kelly,1,2003,0
The Real Cancun,1,2003,0
Catwoman,1,2004,1
Alexander,1,2004,0
Superbabies: Baby Geniuses 2,1,2004,0
Surviving Christmas,1,2004,0
White Chicks,1,2004,0
Dirty Love,1,2005,1
Deuce Bigalow: European Gigolo,1,2005,0
The Dukes of Hazzard,1,2005,0
House of Wax,1,2005,0
Son of the Mask,1,2005,0
Basic Instinct 2,1,2006,0
BloodRayne,1,2006,0
Lady in the Water,1,2006,0
Little Man,1,2006,0
The Wicker Man,1,2006,0
I Know Who Killed Me,1,2007,1
Bratz,1,2007,0
Daddy Day Camp,1,2007,0
I Now Pronounce You Chuck & Larry,1,2007,0
Norbit,1,2007,0
The Love Guru,1,2008,0
Disaster MovieÿandÿMeet the Spartans,1,2008,1
The Happening,1,2008,0
The Hottie & the Nottie,1,2008,0
In the Name of the King,1,2008,0
Transformers: Revenge of the Fallen,1,2009,1
All About Steve,1,2009,0
G.I. Joe: The Rise of Cobra,1,2009,0
Land of the Lost,1,2009,0
Old Dogs,1,2009,0
The Last Airbender,1,2010,1
The Bounty Hunter,1,2010,0
Sex and the City 2,1,2010,0
The Twilight Saga: Eclipse,1,2010,0
Vampires Suck,1,2010,0
Jack and Jill,1,2011,1
Bucky Larson: Born to Be a Star,1,2011,0
New Year's Eve,1,2011,0
Transformers: Dark of the Moon,1,2011,0
The Twilight Saga: Breaking Dawn ? Part 1,1,2011,0
The Twilight Saga: Breaking Dawn ? Part 2,1,2012,1
Battleship,1,2012,0
The Oogieloves in the Big Balloon Adventure,1,2012,0
That's My Boy,1,2012,0
A Thousand Words,1,2012,0
Movie 43,1,2013,1
After Earth,1,2013,0
Grown Ups 2,1,2013,0
The Lone Ranger,1,2013,0
A Madea Christmas,1,2013,0
Saving Christmas,1,2014,1
Left Behind,1,2014,0
The Legend of Hercules,1,2014,0
Teenage Mutant Ninja Turtles,1,2014,0
Transformers: Age of Extinction,1,2014,0
Fantastic Four,1,2015,1
Fifty Shades of Grey,1,2015,0
Jupiter Ascending,1,2015,0
Paul Blart: Mall Cop 2,1,2015,0
Pixels,1,2015,0
Hillary's America: The Secret History of the Democratic Party,1,2016,1
Batman v Superman: Dawn of Justice,1,2016,0
Dirty Grandpa,1,2016,0
Gods of Egypt,1,2016,0
Independence Day: Resurgence,1,2016,0
Zoolander 2,1,2016,0
The Emoji Movie,1,2017,1
Baywatch,1,2017,0
Fifty Shades Darker,1,2017,0
The Mummy,1,2017,0
Transformers: The Last Knight,1,2017,0
Holmes & Watson,1,2018,1
Gotti,1,2018,0
The Happytime Murders,1,2018,0
Robin Hood,1,2018,0
Winchester,1,2018,0
Cats,1,2019,1
The Fanatic,1,2019,0
The Haunting of Sharon Tate,1,2019,0
A Madea Family Funeral,1,2019,0
Rambo: Last Blood,1,2019,0
Absolute Proof,1,2020,1
365 Days,1,2020,0
Dolittle,1,2020,0
Fantasy Island,1,2020,0
Music,1,2020,0
Diana the Musical,1,2021,1
Infinite,1,2021,0
Karen,1,2021,0
Space Jam: A New Legacy,1,2021,0
The Woman in the Window,1,2021,0
