,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,title_language,isEN
0,tt0015224,peter pan,nan,1924,,105,1042.0,True,no,False
1,tt0015864,the gold rush,nan,1925,,95,107475.0,True,en,True
2,tt0016029,the little colonel,nan,1935,,81,1646.0,True,en,True
3,tt0021309,the story of the fox,Le roman de Renard,1937,,63,,True,fr,False
4,tt0022395,the skin game,nan,1931,,85,,False,en,True
5,tt0022485,tokyo chorus,nan,,1931,90,1364.0,True,sk,False
6,tt0022550,waterloo bridge,Waterloo Bridge,1931,,81,2828.0,True,nl,False
7,tt0022802,the dark horse,nan,1932,,75,1232.0,True,en,True
8,tt0022913,freaks,nan,1932,,64,44794.0,True,no,False
9,tt0023634,"i was born, but...",nan,1932,,100,5332.0,True,en,True
10,tt0023686,what price hollywood?,nan,1932,,88,2294.0,True,en,True
11,tt0024188,island of lost souls,nan,1932,,70,9091.0,True,en,True
12,tt0024264,little women,Little Women,1933,,115,,True,en,True
13,tt0024617,the story of temple drake,The Story of Temple Drake,,1933,70,1448.0,True,en,True
14,tt0024844,l'atalante,nan,1934,,89,15408.0,True,it,False
15,tt0024852,march of the wooden soldiers,nan,1934,,77,6625.0,True,en,True
16,tt0024966,chapayev,Chapaev,1934,,93,1249.0,True,en,True
17,tt0026104,becky sharp,nan,1935,,84,1074.0,False,cs,False
18,tt0028683,camille,nan,1936,,109,7823.0,True,it,False
19,tt0029442,the prisoner of zenda,The Prisoner of Zenda,1937,,101,,True,en,True
20,tt0029942,boys town,Boys Town,1938,,96,5544.0,True,en,True
21,tt0031580,the little princess,The Little Princess,1939,,93,5980.0,True,en,True
22,tt0031750,the old maid,nan,1939,,95,3676.0,True,en,True
23,tt0031971,stagecoach,nan,1939,,96,46868.0,True,en,True
24,tt0032152,you can't cheat an honest man,nan,1939,,79,,True,en,True
25,tt0032155,young mr. lincoln,nan,1939,,100,7926.0,True,tl,False
26,tt0032325,charlie chan in panama,Charlie Chan in Panama,,1940,67,1365.0,True,en,True
27,tt0032338,christmas in july,nan,1940,,67,3706.0,True,en,True
28,tt0033253,the westerner,The Westerner,,1940,100,5663.0,True,en,True
