Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$480,203,242","$117,294",<0.1%,"$480,085,948",100%
2,The Batman,"$288,276,454","$164,076,454",56.9%,"$124,200,000",43.1%
3,Uncharted,"$274,468,433","$103,168,433",37.6%,"$171,300,000",62.4%
4,Too Cool to Kill,"$217,236,396","$166,947",<0.1%,"$217,069,449",99.9%
5,Scream,"$138,799,794","$80,399,794",57.9%,"$58,400,000",42.1%
6,Death on the Nile,"$116,329,991","$37,994,969",32.7%,"$78,335,022",67.3%
7,Jackass Forever,"$72,216,303","$55,016,303",76.2%,"$17,200,000",23.8%
8,Dog,"$48,235,915","$41,875,373",86.8%,"$6,360,542",13.2%
9,Marry Me,"$47,231,060","$21,626,060",45.8%,"$25,605,000",54.2%
10,Moonfall,"$39,381,315","$18,956,243",48.1%,"$20,425,072",51.9%
11,The 355,"$26,718,043","$14,570,455",54.5%,"$12,147,588",45.5%
12,Bheemla Nayak,"$15,021,965",-,-,"$15,021,965",100%
13,Valimai,"$14,010,856",-,-,"$14,010,856",100%
14,Super-héros malgré lui,"$13,112,521",-,-,"$13,112,521",100%
15,Blacklight,"$12,331,429","$9,252,284",75%,"$3,079,145",25%
16,Wunderschön,"$11,600,000",-,-,"$11,600,000",100%
17,Maison de retraite,"$10,124,178",-,-,"$10,124,178",100%
18,The Pirates: The Last Royal Treasure,"$10,064,342",-,-,"$10,064,342",100%
19,Redeeming Love,"$9,428,550","$9,213,225",97.7%,"$215,325",2.3%
20,Vaillante,"$8,969,877",-,-,"$8,969,877",100%
21,Kingmaker,"$5,934,514",-,-,"$5,934,514",100%
22,The Policeman's Lineage,"$5,854,676",-,-,"$5,854,676",100%
23,Adieu Monsieur Haffmann,"$5,781,484",-,-,"$5,781,484",100%
24,Cyrano,"$4,454,426","$2,846,861",63.9%,"$1,607,565",36.1%
25,Waiting for Bojangles,"$4,428,001",-,-,"$4,428,001",100%
26,The Cursed,"$4,274,068","$4,274,068",100%,-,-
27,Chickenhare and the Hamster of Darkness,"$4,210,336",-,-,"$4,210,336",100%
28,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
29,The Duke,"$3,929,527",-,-,"$3,929,527",100%
30,The Godfather 2022 Re-release,"$3,699,963","$1,199,963",32.4%,"$2,500,000",67.6%
31,Beautiful Minds,"$3,651,250",-,-,"$3,651,250",100%
32,Special Delivery,"$3,504,022",-,-,"$3,504,022",100%
33,Between Two Worlds,"$3,317,253",-,-,"$3,317,253",100%
34,King,"$3,040,669",-,-,"$3,040,669",100%
35,Chia Khoa Tram Ty,"$2,939,181",-,-,"$2,939,181",100%
36,The Young Lovers,"$2,867,584",-,-,"$2,867,584",100%
37,Studio 666,"$2,857,176","$2,403,737",84.1%,"$453,439",15.9%
38,Maigret,"$2,852,040",-,-,"$2,852,040",100%
39,Chuyen Ma Gan Nhà,"$2,795,431",-,-,"$2,795,431",100%
40,Un Autre Monde,"$2,784,763",-,-,"$2,784,763",100%
41,The Last 10 Years,"$2,700,000",-,-,"$2,700,000",100%
42,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
43,Promises,"$2,512,796",-,-,"$2,512,796",100%
44,Disobedient,"$2,310,187",-,-,"$2,310,187",100%
45,The Glance of Music,"$2,198,396",-,-,"$2,198,396",100%
46,¡Qué Despadre!,"$2,181,395",-,-,"$2,181,395",100%
47,The Beatles: Get Back - The Rooftop Concert,"$2,176,712","$976,712",44.9%,"$1,200,000",55.1%
48,Fireheart,"$2,026,796",-,-,"$2,026,796",100%
49,The Grandmother,"$1,926,488",-,-,"$1,926,488",100%
50,Around the World in 80 Days,"$1,919,519",-,-,"$1,919,519",100%
51,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
52,Gangubai Kathiawadi,"$1,846,468","$592,000",32.1%,"$1,254,468",67.9%
53,The Exorcism of God,"$1,836,763",-,-,"$1,836,763",100%
54,The Beatles: Get Back,"$1,808,009",-,-,"$1,808,009",100%
55,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
56,Love Mocktail 2,"$1,750,544",-,-,"$1,750,544",100%
57,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
58,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
